# log ϵ [eV]	log (ϵ dN/dϵ) [cm-3]
# z = 0.0 z = 0.2 z = 0.4 z = 0.6 z = 0.8 z = 1.0
−2.8834 2.0525 −2.8042 2.2108 −2.7873 2.4598 −2.7294 2.5758 −2.6782 2.6781 −2.6325 2.7695
−2.8334 1.9065 −2.7542 2.0648 −2.7372 2.3447 −2.6793 2.4607 −2.6281 2.5630 −2.5824 2.6544
−2.7834 1.7255 −2.7042 1.8838 −2.6872 2.1987 −2.6293 2.3147 −2.5781 2.4170 −2.5324 2.5084
−2.7334 1.5035 −2.6542 1.6618 −2.6372 2.0177 −2.5793 2.1337 −2.5281 2.2360 −2.4824 2.3274
−2.6834 1.2365 −2.6042 1.3948 −2.5872 1.7957 −2.5293 1.9117 −2.4781 2.0140 −2.4324 2.1054
−2.6334 0.9185 −2.5542 1.0768 −2.5372 1.5287 −2.4793 1.6447 −2.4281 1.7470 −2.3824 1.8384
−2.5834 0.5435 −2.5042 0.7018 −2.4872 1.2107 −2.4293 1.3267 −2.3781 1.4290 −2.3324 1.5204
−2.5334 0.1839 −2.4542 0.3553 −2.4372 0.8694 −2.3793 0.9885 −2.3281 1.0922 −2.2824 1.1834
−2.4495 −0.2972 −2.3703 −0.0893 −2.3034 0.0803 −2.2454 0.2179 −2.1942 0.3140 −2.1485 0.3790
−2.3034 −0.3062 −2.2242 −0.0961 −2.1573 0.0722 −2.0993 0.2005 −2.0481 0.2751 −2.0024 0.3130
−2.1359 −0.2983 −2.0567 −0.1042 −1.9897 0.0584 −1.9318 0.1752 −1.8807 0.2245 −1.8348 0.2330
−2.0516 −0.3699 −1.9722 −0.1809 −1.9055 −0.0251 −1.8474 0.0803 −1.7964 0.1126 −1.7506 0.1011
−1.9469 −0.4803 −1.8677 −0.2979 −1.8008 −0.1489 −1.7428 −0.0542 −1.6916 −0.0391 −1.6459 −0.0719
−1.8598 −0.7073 −1.7804 −0.5333 −1.7135 −0.3934 −1.6556 −0.3186 −1.6045 −0.3227 −1.5586 −0.3554
−1.7804 −0.8955 −1.7014 −0.7282 −1.6343 −0.5962 −1.5764 −0.5232 −1.5252 −0.5245 −1.4795 −0.5541
−1.7506 −0.9674 −1.6714 −0.7981 −1.6045 −0.6645 −1.5464 −0.5875 −1.4953 −0.5834 −1.4495 −0.6068
