z = 2.3 z = 2.6 z = 2.9 z = 3.2 z = 3.5
−2.365 3.089 −2.3271 3.1650 −2.2923 3.2345 −2.2602 3.2989 −2.2302 3.3588
−2.315 2.943 −2.2771 3.0190 −2.2423 3.0885 −2.2102 3.1529 −2.1802 3.2128
−2.265 2.762 −2.2271 2.8380 −2.1923 2.9075 −2.1602 2.9719 −2.1302 3.0318
−2.215 2.540 −2.1771 2.6160 −2.1423 2.6855 −2.1102 2.7499 −2.0802 2.8098
−2.165 2.273 −2.1271 2.3490 −2.0923 2.4185 −2.0602 2.4829 −2.0302 2.5428
−2.115 1.955 −2.0771 2.0310 −2.0423 2.1005 −2.0102 2.1649 −1.9802 2.2248
−2.065 1.580 −2.0271 1.6560 −1.9923 1.7255 −1.9602 1.7899 −1.9302 1.8498
−2.015 1.199 −1.9771 1.2640 −1.9423 1.3252 −1.9102 1.3519 −1.8802 1.4118
−1.931 0.5723 −1.8931 0.5938 −1.8586 0.6171 −1.8602 0.9315 −1.8302 0.9724
−1.785 0.2097 −1.7471 0.1323 −1.7124 0.0481 −1.6801 −0.0512 −1.6501 −0.1655
−1.617 −0.1159 −1.5795 −0.2188 −1.5449 −0.3124 −1.5127 −0.4018 −1.4827 −0.4929
−1.533 −0.3050 −1.4953 −0.3991 −1.4605 −0.4877 −1.4283 −0.5832 −1.3984 −0.6975
−1.428 −0.4735 −1.3905 −0.5737 −1.3558 −0.6790 −1.3236 −0.7865 −1.2936 −0.9010
−1.341 −0.7570 −1.3034 −0.8620 −1.2687 −0.9610 −1.2365 −1.0610 −1.2065 −1.1698
−1.262 −0.9527 −1.2242 −1.0576 −1.1895 −1.1603 −1.1573 −1.2683 −1.1273 −1.3898
−1.232 −0.9314 −1.1943 −0.9965 −1.1595 −1.0390 −1.1273 −1.0687 −1.0973 −1.0858
−1.165 −1.106 −1.1273 −1.1875 −1.0925 −1.2551 −1.0604 −1.3088 −1.0304 −1.3549
−0.9888 −1.260 −0.9512 −1.2984 −0.9165 −1.2831 −0.8844 −1.2378 −0.8545 −1.2016
−0.8642 −1.470 −0.8262 −1.5370 −0.7916 −1.6996 −0.7595 −1.9539 −0.7293 −2.2334
−0.7672 −1.511 −0.7293 −1.6757 −0.6946 −1.8245 −0.6625 −1.9662 −0.6325 −2.0691
−0.6880 −1.797 −0.6501 −1.9234 −0.6155 −2.0070 −0.5832 −2.0617 −0.5533 −2.1162
−0.5630 −2.004 −0.5252 −2.0324 −0.4905 −2.0593 −0.4583 −2.0876 −0.4283 −2.1206
−0.4661 −2.002 −0.4283 −2.0170 −0.3936 −2.0330 −0.3614 −2.0524 −0.3314 −2.0771
−0.3412 −2.121 −0.3034 −2.1647 −0.2687 −2.2197 −0.2365 −2.2707 −0.2065 −2.3264
−0.2900 −2.119 −0.2523 −2.1763 −0.2175 −2.2504 −0.1853 −2.3191 −0.1553 −2.3943
−0.2130 −2.030 −0.1752 −2.1046 −0.1405 −2.2072 −0.1083 −2.3051 −0.0784 −2.4165
−0.1503 −2.050 −0.1126 −2.1460 −0.0778 −2.2609 −0.0457 −2.3652 −0.0157 −2.4806
−0.0413 −2.117 −0.0035 −2.2074 0.0313 −2.3161 0.0635 −2.4317 0.0934 −2.5730
