# E_gamma_TeV tau_xi_100000000.0 tau_xi_10000000.0 tau_xi_1000000.0 tau_xi_100000.0 tau_xi_10000.0 tau_xi_1000.0 tau_xi_100.0 tau_xi_10.0 tau_xi_1.0 tau_xi_0.1 tau_xi_0.01
2.999999999999999542e-02 4.980132759181541934e-06 5.620358757996455961e-05 6.828143052408845823e-05 6.960203445655375543e-05 6.973567997437275638e-05 6.974848833547654529e-05 6.974986572016741396e-05 6.974994174657057737e-05 6.974995509194205682e-05 6.974995642586366389e-05 6.974995655374746498e-05
3.324410585876282770e-02 9.560866866907203728e-06 1.315221909285993658e-04 1.625113438856844715e-04 1.659327736390464711e-04 1.662783671363188601e-04 1.663127312606280355e-04 1.663161881112024620e-04 1.663165339902063396e-04 1.663165685470706270e-04 1.663165719501396320e-04 1.663165722953795819e-04
3.683901914495432695e-02 1.324230470442926143e-05 2.604503555835552915e-04 3.301249677722674879e-04 3.378952254194440732e-04 3.386888528868659161e-04 3.387708570716272760e-04 3.387788836124751551e-04 3.387796707577328211e-04 3.387797492167618626e-04 3.387797571292238893e-04 3.387797579163020828e-04
4.082267507292841602e-02 1.368240963800131215e-05 4.559850199808157816e-04 5.988778546331794848e-04 6.151782525027995642e-04 6.168180240463713281e-04 6.169823653339464404e-04 6.169993119932655522e-04 6.170009657629432851e-04 6.170011307928370070e-04 6.170011472184985107e-04 6.170011488824720487e-04
4.523711105207705446e-02 1.018789750950918419e-05 7.254329234672307744e-04 9.995467115211506201e-04 1.031651304887272079e-03 1.034889226126141674e-03 1.035256679001716421e-03 1.035288990275488440e-03 1.035292254758755914e-03 1.035292575153702165e-03 1.035292607576268750e-03 1.035292610831947029e-03
5.012891028532866222e-02 4.764919608800491751e-06 1.066793514052179204e-03 1.563286457259909076e-03 1.623316653867414288e-03 1.629489368539302832e-03 1.630083007151781607e-03 1.630144216214868096e-03 1.630150359241612935e-03 1.630150972384985164e-03 1.630151033738414445e-03 1.630151039795798206e-03
5.554969333699640022e-02 8.897925158750045095e-07 1.463652016673871884e-03 2.316071542804949701e-03 2.422956336117860522e-03 2.433805203035430305e-03 2.434905627556820974e-03 2.435009219704316503e-03 2.435020220612205133e-03 2.435021320570559134e-03 2.435021430855435851e-03 2.435021441578217021e-03
6.155666285723068731e-02 5.980854013949114469e-09 1.881607686952216016e-03 3.275000301168934109e-03 3.459140929949307535e-03 3.478058235329991189e-03 3.480045000550752773e-03 3.480232370306596788e-03 3.480250609513347616e-03 3.480252739738523126e-03 3.480252848385635266e-03 3.480252852032906120e-03
6.821320721126504505e-02 0.000000000000000000e+00 2.270262745430463337e-03 4.450713672239278371e-03 4.757616179318524541e-03 4.789374933793741004e-03 4.792584901606480353e-03 4.792907110826317638e-03 4.792939288068262353e-03 4.792942493093746079e-03 4.792942805673748759e-03 4.792942836596547802e-03
7.558956938323402319e-02 0.000000000000000000e+00 2.568228914195524060e-03 5.843280966374110250e-03 6.343815590302616728e-03 6.396295224074038596e-03 6.401593727346591503e-03 6.402121100250519024e-03 6.402173848089991182e-03 6.402179123900600746e-03 6.402179654904958418e-03 6.402179707754876437e-03
