# E_gamma_TeV tau_xi_100000000.0 tau_xi_10000000.0 tau_xi_1000000.0 tau_xi_100000.0 tau_xi_10000.0 tau_xi_1000.0 tau_xi_100.0 tau_xi_10.0 tau_xi_1.0 tau_xi_0.1 tau_xi_0.01
2.999999999999999542e-02 5.611265165700722070e-04 8.781787598444566897e-05 7.139592493817238888e-05 6.991248531900989165e-05 6.976642934869619944e-05 6.975165012933356393e-05 6.975011971963272761e-05 6.974997292822343175e-05 6.974995817162926465e-05 6.974995671539322686e-05 6.974995658594133061e-05
3.324410585876282770e-02 1.752391797123464086e-03 2.146462744053097586e-04 1.706626432083555012e-04 1.667443683971642026e-04 1.663571038212643364e-04 1.663209084597789677e-04 1.663170192537208780e-04 1.663166152919502954e-04 1.663165766078848230e-04 1.663165727620341018e-04 1.663165723771128132e-04
3.683901914495432695e-02 5.444931897945238207e-03 4.535964574038521655e-04 3.489163613429946474e-04 3.397780467788288558e-04 3.388764955314654695e-04 3.387897471286616569e-04 3.387807568133455053e-04 3.387798578495264303e-04 3.387797679677404428e-04 3.387797590135689998e-04 3.387797581049226321e-04
4.082267507292841602e-02 1.967147469227623069e-02 8.699410117220949179e-04 6.387378171701681281e-04 6.191401336079711609e-04 6.172149904820669599e-04 6.170226923058628674e-04 6.170032846782241105e-04 6.170013626877549886e-04 6.170011704192039734e-04 6.170011512151023399e-04 6.170011492832985561e-04
4.523711105207705446e-02 2.292440038110046263e-01 1.564775658751532943e-03 1.079162794495541235e-03 1.039574693725407988e-03 1.035723780758555576e-03 1.035335665071632823e-03 1.035296980533942238e-03 1.035293039389256027e-03 1.035292654195164126e-03 1.035292615421497123e-03 1.035292611629209025e-03
5.012891028532866222e-02 3.174493441367440671e+07 2.693083518864836708e-03 1.714275538058561595e-03 1.638377051714960762e-03 1.630983468277974902e-03 1.630233484031452101e-03 1.630159253777036009e-03 1.630151862433086574e-03 1.630151123215369804e-03 1.630151048674470093e-03 1.630151041281328221e-03
5.554969333699640022e-02 2.963713915093976259e+08 4.512258385445887775e-03 2.589480243737796346e-03 2.450018747620203146e-03 2.436516478733574166e-03 2.435171251887039735e-03 2.435036420934632000e-03 2.435022940234530652e-03 2.435021592717155191e-03 2.435021457799689971e-03 2.435021444245715622e-03
6.155666285723068731e-02 7.708755877068934441e+08 7.510617151323414550e-03 3.754241436331381358e-03 3.506677303487530390e-03 3.482872573573582431e-03 3.480513570894988151e-03 3.480279086237545935e-03 3.480255428076371466e-03 3.480253098229090652e-03 3.480252835318529709e-03 3.480252847406423763e-03
6.821320721126504505e-02 1.417520449911496878e+09 1.285387609808918107e-02 5.266729690122162917e-03 4.838265223241723298e-03 4.797466953338356405e-03 4.793395314544771947e-03 4.792988096620675632e-03 4.792947314654964937e-03 4.792943269840603017e-03 4.792942882324291443e-03 4.792942843963799576e-03
7.558956938323402319e-02 2.217571482197124004e+09 2.450227398972115722e-02 7.208982609677019870e-03 6.478275192169576611e-03 6.409725326506280144e-03 6.402935084012170708e-03 6.402255270894919269e-03 6.402187294555254475e-03 6.402180467915201748e-03 6.402179789692486779e-03 6.402179721526677844e-03
8.376358821315099679e-02 3.167688521701446056e+09 6.124741345716602781e-02 9.717191861429190156e-03 8.471507777738820910e-03 8.357499656176690245e-03 8.346297457061334010e-03 8.345156330416814844e-03 8.345043366842436541e-03 8.345032099897614977e-03 8.345030972669418776e-03 8.345030839557007057e-03
9.282151978892702604e-02 4.277473730654047966e+09 2.670719371401099052e-01 1.306510611870239161e-02 1.090107533591924173e-02 1.071044543935817557e-02 1.069148780071110631e-02 1.068961861312775312e-02 1.068943114500804301e-02 1.068941229959861731e-02 1.068941042951799050e-02 1.068941023536530699e-02
1.028589476611446868e-01 5.566987179014435768e+09 1.638174916753119905e+05 1.778251306717690619e-02 1.390688336393133134e-02 1.358403325505990432e-02 1.355232803364163005e-02 1.354916481524073325e-02 1.354884806476721118e-02 1.354881639852968320e-02 1.354881323769000813e-02 1.354881292271731610e-02
1.139817914856013636e-01 7.064785624476027489e+09 3.052234547876235843e+07 2.492615133881719014e-02 1.770981033546050257e-02 1.715408223981406202e-02 1.709994633440134817e-02 1.709449681987932484e-02 1.709395190588169217e-02 1.709389760857326149e-02 1.709389136614374374e-02 1.709389085192398322e-02
1.263074247372921455e-01 8.806613859747266769e+09 1.127275267101412714e+08 3.664216252363078352e-02 2.262935805377824100e-02 2.165979092510462306e-02 2.156654146981913309e-02 2.155690036567280143e-02 2.155597963024268038e-02 2.155588606271849686e-02 2.155587664390194377e-02 2.155587569245398863e-02
1.399659132904753356e-01 1.083469788536629105e+10 2.351959737566032410e+08 5.760257765528600804e-02 2.909267775002792253e-02 2.739838474397015070e-02 2.723664657408481071e-02 2.722069360777628136e-02 2.721934202778281825e-02 2.721918225032183419e-02 2.721916624360160714e-02 2.721916460590171477e-02
1.551013879348994429e-01 1.319753569345031166e+10 3.921710532867584229e+08 9.932235410645642859e-02 3.768887705131691856e-02 3.471887267988973957e-02 3.443779003445051473e-02 3.440973996801856977e-02 3.440685172277843651e-02 3.440657677783922480e-02 3.440654906699776305e-02 3.440654628702810580e-02
1.718735653116279793e-01 1.595008348704607773e+10 5.814236426288961172e+08 1.963240225536035666e-01 4.919600986433199374e-02 4.400301780091392390e-02 4.352420762149125655e-02 4.347672132672701639e-02 4.347197427344565157e-02 4.347149978612611931e-02 4.347145221039221130e-02 4.347144746847382557e-02
1.904594333180916477e-01 1.915425517653090286e+10 8.037738630169939995e+08 4.853931185582284202e-01 6.473356384523287765e-02 5.567730962019368235e-02 5.486546894750671255e-02 5.478344279719427751e-02 5.477460729189551070e-02 5.477380136534859556e-02 5.477372080980260488e-02 5.477371267842424257e-02
2.110551187675540064e-01 2.287967608833372116e+10 1.062537224953412533e+09 1.850358813155858373e+00 8.599139960857331288e-02 7.022833463827310441e-02 6.888191941572825716e-02 6.876540223833349508e-02 6.875169331390279526e-02 6.875042596620982438e-02 6.875030169193874219e-02 6.875029118475758927e-02
2.338779570114110085e-01 2.720465241021160126e+10 1.363042123056453943e+09 1.855893971444827737e+06 1.156972337119019090e-01 8.817421809418120315e-02 8.590738158219107801e-02 8.568483498682034905e-02 8.566284938913149016e-02 8.566063193542743093e-02 8.566041124876519475e-02 8.566038867400095624e-02
2.591687853639511041e-01 3.221733486627361298e+10 1.712281428715725422e+09 1.476819732012124360e+07 1.584311416538891348e-01 1.101574531798126949e-01 1.064252290071988488e-01 1.060600823304144597e-01 1.060204983209201840e-01 1.060168864662034416e-01 1.060165254998340773e-01 1.060164893351777660e-01
2.871944845308725403e-01 3.801706811990720367e+10 2.118701470272988319e+09 3.726523416200124472e+07 2.226000954711212232e-01 1.368486007928091941e-01 1.307762735748353444e-01 1.301852166303017477e-01 1.301265803430935175e-01 1.301210600804344475e-01 1.301204643875331080e-01 1.301204044968190532e-01
3.182507948599050396e-01 4.471592794754084778e+10 2.592109142377187252e+09 6.767313414392454922e+07 3.251361045753735635e-01 1.690921584122018206e-01 1.593030123828209632e-01 1.583639024070931656e-01 1.582702821529897164e-01 1.582609170053500269e-01 1.582599803917149328e-01 1.582598866660328008e-01
3.526654371319368209e-01 5.244045602069794464e+10 3.143674177166805744e+09 1.051669235463650078e+08 5.035676481156985407e-01 2.079119449964028643e-01 1.922807291449789846e-01 1.907975382542775600e-01 1.906469879838806614e-01 1.906333348914406312e-01 1.906319176414919825e-01 1.906317732237573781e-01
3.908015708246992403e-01 6.133360893160747528e+10 3.786006634927706242e+09 1.496287704218575060e+08 8.507027211261105615e-01 2.547230094562570879e-01 2.299561976276247588e-01 2.276468266747819214e-01 2.274168960314731369e-01 2.273935867162228397e-01 2.273912956128696927e-01 2.273910659200461537e-01
