# E_gamma_TeV tau_xi_1e+14 tau_xi_1e+13 tau_xi_1e+12 tau_xi_1e+11 tau_xi_1e+10 tau_xi_1e+09 tau_xi_1e+08 tau_xi_1e+07 tau_xi_1e+06 tau_xi_1e+04 tau_xi_1e+02
2.999999999999999542e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.569824601662468152e-05 6.970899019938803774e-05 6.974959635235875651e-05 6.974995237221246391e-05 6.974995652791855729e-05 6.974995656923828813e-05 6.974995656925161026e-05 6.974995656925598773e-05 6.974995656925598773e-05
3.693613755858524139e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.137058046915391029e-04 3.441322355551754944e-04 3.444500381440972528e-04 3.444521441679245888e-04 3.444521759165659566e-04 3.444521762341474212e-04 3.444521762374281627e-04 3.444521762374610141e-04 3.444521762374610141e-04
4.547594192489105153e-02 0.000000000000000000e+00 0.000000000000000000e+00 9.018835777424956878e-04 1.059457816854450160e-03 1.061166314981264050e-03 1.061183360868067031e-03 1.061183532244019088e-03 1.061183533973889892e-03 1.061183533991644137e-03 1.061183533991823680e-03 1.061183533991823680e-03
5.599018821813368796e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.861316929470496241e-03 2.499064986272666895e-03 2.506464250191954308e-03 2.506538204134124530e-03 2.506538944442172900e-03 2.506538952175024586e-03 2.506538952252201132e-03 2.506538952252975253e-03 2.506538952252975253e-03
6.893537646520216111e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.829984268028484622e-03 4.916047924347873195e-03 4.943543055066508540e-03 4.943819214228329859e-03 4.943821975283166012e-03 4.943822005106359406e-03 4.943822005387130472e-03 4.943822005390053481e-03 4.943822005390053481e-03
8.487355159238556268e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.979339187514465880e-03 8.525235067451935461e-03 8.620195166927000635e-03 8.621149316455039083e-03 8.621158892181422784e-03 8.621158988588640062e-03 8.621158989582501306e-03 8.621158989592633826e-03 8.621158989592633826e-03
1.044967058900678342e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.842321621005370454e-03 1.371076632206644913e-02 1.404122053120647126e-02 1.404455734188643848e-02 1.404459135569749439e-02 1.404459169037453568e-02 1.404459169379168246e-02 1.404459169382710898e-02 1.404459169382711592e-02
1.286568234391523569e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.761344075453222157e-04 2.127295784105424220e-02 2.246455880012058690e-02 2.247714218085906934e-02 2.247726682401978218e-02 2.247726809039621299e-02 2.247726810164134975e-02 2.247726810170491696e-02 2.247726810170494818e-02
1.584028709466381857e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.837122527447320974e-05 3.183999228622823308e-02 3.605628764097978944e-02 3.610189425035939537e-02 3.610234729264436698e-02 3.610235180344770894e-02 3.610235184910375039e-02 3.610235184941810310e-02 3.610235184941809616e-02
1.950263410319951485e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.379386402296672753e-02 5.757703532240877886e-02 5.774193953855649014e-02 5.774359213645954142e-02 5.774360853417766920e-02 5.774360868972092803e-02 5.774360869241410010e-02 5.774360869241430133e-02
2.401173253301777111e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.061642038843632702e-02 8.997047734166201127e-02 9.053493605115152387e-02 9.054060551850813543e-02 9.054066218955571232e-02 9.054066275308104983e-02 9.054066275917926898e-02 9.054066275917985185e-02
2.956335519531670397e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.331342419575030800e-02 1.357856287073032631e-01 1.376223051653227558e-01 1.376408891963702974e-01 1.376410741569011886e-01 1.376410760635406183e-01 1.376410760834657077e-01 1.376410760834673730e-01
3.639853847291779632e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.391471405469124123e-02 1.957771282805983726e-01 2.014170080600096724e-01 2.014744453028450011e-01 2.014750195706249969e-01 2.014750253561818638e-01 2.014750254159465015e-01 2.014750254159525522e-01
