# E_gamma_TeV tau_xi_1e+14 tau_xi_1e+13 tau_xi_1e+12 tau_xi_1e+11 tau_xi_1e+10 tau_xi_1e+09 tau_xi_1e+08 tau_xi_1e+07 tau_xi_1e+06 tau_xi_1e+04 tau_xi_1e+02
2.999999999999999542e-02 7.669307324897177734e+11 1.002829670392779010e-02 7.402101117596441172e-05 6.979173843575935425e-05 6.975043249887415879e-05 6.974996069146172475e-05 6.974995659360603011e-05 6.974995656968434245e-05 6.974995656926035164e-05 6.974995656925598773e-05 6.974995656925598773e-05
3.324410585876282770e-02 1.039883801515709351e+12 3.167509671031481121e+05 1.788906185269340064e-04 1.664359334701916485e-04 1.663178066666961413e-04 1.663165845057766904e-04 1.663165724571723887e-04 1.663165723355271818e-04 1.663165723342851468e-04 1.663165723342725159e-04 1.663165723342725159e-04
3.683901914495432695e-02 1.398993158296513672e+12 4.176031314932044744e+08 3.715054782204300541e-04 3.390913361946709214e-04 3.387828903381860809e-04 3.387797891892435132e-04 3.387797583181934393e-04 3.387797580065922171e-04 3.387797580033833039e-04 3.387797580033509405e-04 3.387797580033509405e-04
4.082267507292841602e-02 1.869664529408814209e+12 1.812174827249869347e+09 6.956689057049499298e-04 6.177358318252622153e-04 6.170087133110108970e-04 6.170012232435688644e-04 6.170011497996814994e-04 6.170011490759832714e-04 6.170011490683535238e-04 6.170011490682765455e-04 6.170011490682765455e-04
4.523711105207705446e-02 2.484313127737995605e+12 4.154279042314278126e+09 1.214370389219425993e-03 1.036928752786393879e-03 1.035309217102400176e-03 1.035292776561011615e-03 1.035292612861668255e-03 1.035292611215740720e-03 1.035292611198820444e-03 1.035292611198648056e-03 1.035292611198648056e-03
5.012891028532866222e-02 3.284249889029617676e+12 7.526689263484653473e+09 2.020023932622675832e-03 1.633661999594804943e-03 1.630186361472818739e-03 1.630151391600730615e-03 1.630151043974290611e-03 1.630151040510599905e-03 1.630151040474397094e-03 1.630151040474030416e-03 1.630151040474030416e-03
5.554969333699640022e-02 4.322065894256187012e+12 1.213773686061907196e+10 3.256908026387727272e-03 2.442089469860790184e-03 2.435092221615357821e-03 2.435022150162319005e-03 2.435021449835786129e-03 2.435021442838703528e-03 2.435021442771494703e-03 2.435021442770754843e-03 2.435021442770754843e-03
6.155666285723068731e-02 5.664642035515470703e+12 1.833379805688851929e+10 5.185880646787851926e-03 3.493839701472334965e-03 3.480389393783801105e-03 3.480254224283442846e-03 3.480252840071914027e-03 3.480252847410579727e-03 3.480252847274416944e-03 3.480252847273104192e-03 3.480252847273104192e-03
6.821320721126504505e-02 7.396944001074833008e+12 2.661374170490980148e+10 8.363295038670033946e-03 4.819190826539171413e-03 4.793205257778826098e-03 4.792945412785938955e-03 4.792942863810578311e-03 4.792942840353824410e-03 4.792942840234812839e-03 4.792942840232064169e-03 4.792942840232064169e-03
7.558956938323402319e-02 9.626803529775332031e+12 3.765219044238111877e+10 1.434302622788166150e-02 6.450963388659998812e-03 6.402665094185129406e-03 6.402184566477288688e-03 6.402179762904663951e-03 6.402179714412739066e-03 6.402179713911107344e-03 6.402179713906015063e-03 6.402179713906015063e-03
