# E_gamma_TeV tau_xi_-1e+06 tau_xi_-1e+05 tau_xi_-1e+04 tau_xi_-1e+03 tau_xi_-1e+02 tau_xi_-1e+01 tau_xi_0e+00 tau_xi_1e+01 tau_xi_1e+02 tau_xi_1e+03 tau_xi_1e+04 tau_xi_1e+05 tau_xi_1e+06
1.584893192461113431e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.731345882257469965e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.891331591471545961e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.066100844179171586e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.257019719633919161e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.465580530189559472e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.693413485920200662e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.942299437114336350e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.214183794244145076e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.511191734215130672e-02 6.999721317145239483e-07 8.202322049576879893e-07 8.329647798580374275e-07 8.342125823844398785e-07 8.343310007267091725e-07 8.343442540311583367e-07 8.343456989855771122e-07 8.343471427587331628e-07 8.343601243775134671e-07 8.344895548509022203e-07 8.357519876414427092e-07 8.486268773533630840e-07 9.845395379786652702e-07
3.835644811755342665e-02 8.339808959468030769e-06 9.042923022473651649e-06 9.115266149853903783e-06 9.122551121447496561e-06 9.123220099096260549e-06 9.123292277042085896e-06 9.123300295048392131e-06 9.123308329706781655e-06 9.123380603010710537e-06 9.124092892565001118e-06 9.131217898938106189e-06 9.204406265207700614e-06 9.953107858136294342e-06
4.190079105786669034e-02 3.080038904112801068e-05 3.339236785770628615e-05 3.366374283877304361e-05 3.369058534508922336e-05 3.369342489228574071e-05 3.369373182596177325e-05 3.369376284972221104e-05 3.369379390026347926e-05 3.369407268679013273e-05 3.369687366888322817e-05 3.372409264121101143e-05 3.399952207596860848e-05 3.689038021691941219e-05
4.577265042618829799e-02 1.009099590501235565e-04 1.105634601740435155e-04 1.115664739380424389e-04 1.116666438674085112e-04 1.116728604670770504e-04 1.116740493566204499e-04 1.116741734702321719e-04 1.116742978388356682e-04 1.116754863734099483e-04 1.116869603393037537e-04 1.117881760583528544e-04 1.128005383243440494e-04 1.233400992072669622e-04
5.000229050913546774e-02 2.607589349862872181e-04 2.849255840722929181e-04 2.874548399070770777e-04 2.876899825775616217e-04 2.877140977455450600e-04 2.877169202744735230e-04 2.877172047745516956e-04 2.877174892456728339e-04 2.877200588082417946e-04 2.877444372143272847e-04 2.879836538047213105e-04 2.905243508645149715e-04 3.166964024086046394e-04
5.462277217684340103e-02 5.379874344329636402e-04 5.879607869088972032e-04 5.931570317628352814e-04 5.936542088142203553e-04 5.937060132490804866e-04 5.937113052998990986e-04 5.937118844744454201e-04 5.937124639251165677e-04 5.937204885302233828e-04 5.937829978634920867e-04 5.942997375647783055e-04 5.995136169806042793e-04 6.536989482867253771e-04
5.967021130238470833e-02 9.541166776689959756e-04 1.047196600032982089e-03 1.056842460480138073e-03 1.057823553580701731e-03 1.057911962854453207e-03 1.057921799272341316e-03 1.057922886502131237e-03 1.057923969124994991e-03 1.057933861805806022e-03 1.058045347364587911e-03 1.059005254484299535e-03 1.068762095643234662e-03 1.170352989804860624e-03
6.518406106053843685e-02 1.526622489831182174e-03 1.689165793465780560e-03 1.706194970726751872e-03 1.707885267931202097e-03 1.708053533851700652e-03 1.708070658789899486e-03 1.708072568236362844e-03 1.708074469645787285e-03 1.708091566967940168e-03 1.708270504783985892e-03 1.709972593614347489e-03 1.727140287614531422e-03 1.906899881025956927e-03
7.120742031249006898e-02 2.269332064928829881e-03 2.541650843708925973e-03 2.570411726391396562e-03 2.573298887434215428e-03 2.573591262236989141e-03 2.573619526946300477e-03 2.573622674223234336e-03 2.573625808524120876e-03 2.573653990678982824e-03 2.573920475587692432e-03 2.576860374229308828e-03 2.605938121053644890e-03 2.912968098904135036e-03
7.778737048694307765e-02 3.192200441766820246e-03 3.635797240666119052e-03 3.683193053450124939e-03 3.687966242587826116e-03 3.688406832783900843e-03 3.688454595231061353e-03 3.688459900570105303e-03 3.688465209835338054e-03 3.688512986234940630e-03 3.688981883012814374e-03 3.693732014087755186e-03 3.741773388195159065e-03 4.255698207195833006e-03
8.497534359086438005e-02 4.300001269551543756e-03 5.007805227718833095e-03 5.084795793075244826e-03 5.092433849355718946e-03 5.093219442841537270e-03 5.093298452920906084e-03 5.093307193003300017e-03 5.093315921049786088e-03 5.093393002650249690e-03 5.094157925557589103e-03 5.101932387063523588e-03 5.180154162731173337e-03 6.033702982453918728e-03
9.282752422641028789e-02 5.589570079963437216e-03 6.706121656096537993e-03 6.830260214014238947e-03 6.842840729113686300e-03 6.844100149978426043e-03 6.844226070263994405e-03 6.844226241497585947e-03 6.844240863838393744e-03 6.844366616796514202e-03 6.845616124062340810e-03 6.858146118729727299e-03 6.985400242416319773e-03 8.414159056489020974e-03
