# E_gamma_TeV tau_xi_-1e+05 tau_xi_-1e+03 tau_xi_0e+00 tau_xi_1e+03 tau_xi_1e+05
1.584893192461113431e-02 7.669752061547909731e-04 7.685480734919972927e-04 7.685639743253793767e-04 7.685799790883867831e-04 7.701671066322040302e-04
1.983516864948957348e-02 5.180084624434898484e-03 5.192130000454505019e-03 5.192247872369254620e-03 5.192360650580716067e-03 5.204179975225454828e-03
2.482400184600118062e-02 1.838501174349081030e-02 1.843616746984910390e-02 1.843670042764810127e-02 1.843721909944310081e-02 1.848966695456061640e-02
3.106759909833829714e-02 4.578037960301641063e-02 4.595107810968875744e-02 4.595277610022256709e-02 4.595448387613520341e-02 4.612501739984022769e-02
3.888155180308087294e-02 9.155512787741749980e-02 9.204341154192299812e-02 9.204831305962227206e-02 9.205319477122735072e-02 9.254436379057279227e-02
4.866082717980360628e-02 1.591841153944204001e-01 1.605201623398120614e-01 1.605357568084680442e-01 1.605484588885619235e-01 1.618957092979854406e-01
6.089973244419447096e-02 2.556195711568018392e-01 2.594868307048124878e-01 2.595277532584507885e-01 2.595674551415322329e-01 2.635749792684886073e-01
7.621690026086899716e-02 3.974736428222138684e-01 4.094068015503753433e-01 4.095304890343931525e-01 4.096542083571710902e-01 4.222742968451241863e-01
9.538655840070149605e-02 6.097288319497693454e-01 6.459924634433807933e-01 6.464076215222407384e-01 6.467926448133426431e-01 6.868542487410209674e-01
1.193776641714436315e-01 9.123563546043615968e-01 1.015876891476185984e+00 1.017012498804918508e+00 1.018149547974240177e+00 1.141344671519468390e+00
1.494028817264170805e-01 1.297462817929983858e+00 1.570769528602655507e+00 1.573871783914420730e+00 1.577157813609729287e+00 1.949241425558661645e+00
1.869798778781703863e-01 1.701633221158389331e+00 2.361337839798180571e+00 2.369813587891604012e+00 2.378250880404161549e+00 3.509402344713029365e+00
2.340080347001346761e-01 1.992921515257207510e+00 3.424568118586658105e+00 3.446018813771197564e+00 3.467489383468408182e+00 7.001381684343596312e+00
2.928644564625235702e-01 2.016663645547386530e+00 4.768074822594654094e+00 4.818693894333269334e+00 4.869859256956995175e+00 1.000000000000000020e+30
3.665241237079627790e-01 1.709573350749798770e+00 6.343715091493571379e+00 6.454081673056920820e+00 6.567184220551165019e+00 1.000000000000000020e+30
4.587102678234385444e-01 1.183287646758572009e+00 8.033235307496561006e+00 8.257901891826596952e+00 8.490401848460120249e+00 1.000000000000000020e+30
5.740825670026136196e-01 6.626839140474432011e-01 9.667063790818337665e+00 1.009711142589164901e+01 1.055037079824530366e+01 1.000000000000000020e+30
