# E_gamma_TeV tau_xi_-1e+05 tau_xi_-1e+03 tau_xi_0e+00 tau_xi_1e+03 tau_xi_1e+05
1.584893192461113431e-02 9.812745243291058194e-04 9.829603635563202019e-04 9.829778208120983074e-04 9.829943654415683376e-04 9.846781818740092413e-04
1.983516864948957348e-02 4.778440426297644004e-03 4.788588461402496811e-03 4.788686881762406478e-03 4.788785551909697027e-03 4.798459757899015826e-03
2.482400184600118062e-02 1.496494594093563182e-02 1.500791006573645031e-02 1.500835800096171971e-02 1.500881767671396159e-02 1.505183601658729997e-02
3.106759909833829714e-02 3.656063312104017998e-02 3.671227995747811806e-02 3.671395511081147062e-02 3.671527541966235902e-02 3.686759977025046847e-02
3.888155180308087294e-02 7.497846031828159230e-02 7.544472450820752241e-02 7.544951837064942102e-02 7.545423658228432584e-02 7.592242165434927303e-02
4.866082717980360628e-02 1.358735381694552713e-01 1.372089104947520344e-01 1.372297525300617271e-01 1.372359141849614217e-01 1.385878939418981604e-01
6.089973244419447096e-02 2.281379346796081342e-01 2.320847114170289383e-01 2.321259894375667931e-01 2.321667893998009269e-01 2.362266412327569121e-01
7.621690026086899716e-02 3.694117799930969892e-01 3.816406839458655331e-01 3.817711309344508086e-01 3.819009941218676207e-01 3.949056726518399563e-01
9.538655840070149605e-02 5.852560835685279850e-01 6.225146591041196276e-01 6.229074797646658723e-01 6.233076620367530296e-01 6.642789691863411061e-01
1.193776641714436315e-01 8.948284366942947932e-01 9.998340180991699411e-01 1.000981006574874099e+00 1.002126074892761620e+00 1.125947553315026051e+00
1.494028817264170805e-01 1.287770073063394083e+00 1.559512237881991670e+00 1.562645129358047891e+00 1.565798616124439713e+00 1.925991525773563806e+00
1.869798778781703863e-01 1.698636914912546203e+00 2.339399088289556339e+00 2.347416221905107125e+00 2.355536069588484160e+00 3.403620383324038379e+00
2.340080347001346761e-01 1.996590036373608434e+00 3.363202349717679063e+00 3.382913976986277493e+00 3.402836797740431241e+00 6.528738252136770726e+00
2.928644564625235702e-01 2.027542048880167869e+00 4.624399249040088478e+00 4.669781726464347749e+00 4.715836323193661528e+00 1.000000000000000020e+30
3.665241237079627790e-01 1.719434069729048664e+00 6.065805213848214805e+00 6.162862997774086971e+00 6.262539742245983199e+00 1.000000000000000020e+30
4.587102678234385444e-01 1.180066657359939430e+00 7.576342477039977652e+00 7.771576595894569728e+00 7.972726223197883932e+00 1.000000000000000020e+30
5.740825670026136196e-01 6.480496217585223206e-01 9.009174216658291101e+00 9.379062426231692839e+00 9.768998708616846827e+00 1.000000000000000020e+30
7.184726762278732526e-01 2.880374375461225989e-01 1.020621170774778719e+01 1.088361797241340767e+01 1.166234303909440229e+01 1.000000000000000020e+30
8.991789964660119594e-01 1.010343304889859267e-01 1.101105804269411337e+01 1.224571045625080856e+01 1.428262405728366957e+01 1.000000000000000020e+30
1.125335582600765161e+00 2.562064922010217835e-02 1.127523250871496785e+01 1.354516263590469372e+01 2.614778241038002804e+01 1.000000000000000020e+30
1.408373837072016910e+00 2.767672694837092044e-03 1.087932971227812651e+01 1.498375734201465193e+01 1.000000000000000020e+30 1.000000000000000020e+30
1.762600326175456811e+00 4.462594779194023131e-06 9.773886643287182707e+00 1.680386713621848926e+01 1.000000000000000020e+30 1.000000000000000020e+30
2.205919925559483907e+00 0.000000000000000000e+00 8.016912461236890053e+00 1.923942894181832486e+01 1.000000000000000020e+30 1.000000000000000020e+30
2.760740847324663072e+00 0.000000000000000000e+00 5.830080468923414472e+00 2.256776269733821749e+01 1.000000000000000020e+30 1.000000000000000020e+30
3.455107294592219880e+00 0.000000000000000000e+00 3.636132599059711090e+00 2.725535610911658679e+01 1.000000000000000020e+30 1.000000000000000020e+30
4.324116995158324706e+00 0.000000000000000000e+00 1.897561751808211294e+00 3.419685963676133156e+01 1.000000000000000020e+30 1.000000000000000020e+30
5.411695265464635085e+00 0.000000000000000000e+00 7.916602534572443339e-01 4.503223761591882379e+01 1.000000000000000020e+30 1.000000000000000020e+30
6.772815277441416093e+00 0.000000000000000000e+00 2.610295393501764205e-01 6.289018788392969839e+01 1.000000000000000020e+30 1.000000000000000020e+30
8.476276754730660556e+00 0.000000000000000000e+00 7.154941976067363818e-02 9.372054972333330625e+01 1.000000000000000020e+30 1.000000000000000020e+30
1.060818355139448776e+01 0.000000000000000000e+00 1.628279067462280044e-02 1.462154792338388063e+02 1.000000000000000020e+30 1.000000000000000020e+30
1.327629589221126061e+01 0.000000000000000000e+00 2.502135581505957919e-03 2.298001119439765034e+02 1.000000000000000020e+30 1.000000000000000020e+30
1.661547726466098851e+01 0.000000000000000000e+00 4.209116562803689391e-05 3.512192799806110770e+02 1.000000000000000020e+30 1.000000000000000020e+30
2.079451128340919297e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.125195977864676706e+02 1.000000000000000020e+30 1.000000000000000020e+30
2.602463309528382140e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.162657083708683103e+02 1.000000000000000020e+30 1.000000000000000020e+30
3.257020655659784580e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.009560196968393257e+03 1.000000000000000020e+30 1.000000000000000020e+30
